id,phase,block,seq_id,weight1,weight2,weight3,weight4,sorted1,sorted2,sorted3,sorted4,evidence,p_left,n_different,response,rt,rank_cue1,rank_cue2,rank_cue3,rank_cue4,c1_left,c2_left,c3_left,c4_left,c1_right,c2_right,c3_right,c4_right
310,1,2,77,0.3,-0.6,-0.9,0,-0.9,-0.6,0.3,0,-1.2,0.059350943,3,1,1.737918279,3,2,1,4,2,2,1,1,1,1,2,1
310,1,2,67,0,0,0.9,0,0.9,0,0,0,0.9,0.88818423,1,1,1.340787731,3,2,1,4,1,2,1,2,2,2,1,2
310,1,2,103,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,-1,2.13420789,3,2,1,4,1,1,2,2,1,2,2,2
310,1,2,81,0.3,0,-0.9,0,-0.9,0,0.3,0,-0.6,0.200760009,2,1,1.410430226,3,2,1,4,2,2,1,1,1,2,2,1
310,1,2,57,0,0,0.9,0,0.9,0,0,0,0.9,0.88818423,1,1,2.060368917,3,2,1,4,1,2,1,1,2,2,1,2
310,1,2,47,0.3,0,-0.9,0,-0.9,0,0.3,0,-0.6,0.200760009,2,1,1.773118941,3,2,1,4,2,1,1,2,1,1,2,1
310,1,2,132,-0.3,-0.6,0,0,0,-0.6,-0.3,0,-0.9,0.11181577,2,-1,1.084228897,3,2,1,4,1,2,2,1,1,1,1,1
310,1,2,35,0.3,0,-0.9,0,-0.9,0,0.3,0,-0.6,0.200760009,2,1,1.93586739,3,2,1,4,2,1,1,1,1,1,2,1
310,1,2,97,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,1,1.637180252,3,2,1,4,1,1,2,1,1,2,2,2
310,1,2,1,0,0,0,0,0,0,0,0,0,0.5,0,1,1.816958201,3,2,1,4,1,1,1,1,1,1,1,2
310,1,2,23,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,-1,2.266555659,3,2,1,4,1,1,1,2,1,1,2,2
310,1,2,206,-0.3,0.6,0.9,0,0.9,0.6,-0.3,0,1.2,0.940649057,3,1,2.480900316,3,2,1,4,1,1,2,2,2,2,1,2
310,1,2,226,0,0,0,0,0,0,0,0,0,0.5,0,1,1.536362168,3,2,1,4,2,1,2,2,2,1,2,1
310,1,2,178,-0.3,0.6,0,0,0,0.6,-0.3,0,0.3,0.666139425,2,-1,1.983766963,3,2,1,4,1,1,2,1,1,2,1,1
